Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.6571712610115232,0.6860278844833374,
MONAI_LHU-Net,0.8091641832247908,0.8323269486427307,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_NexToU, _Diff-UNet, nnU-Net_STU-Net, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.8173339601752906,0.8397415280342102,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_STU-Net,0.8346220791339874,0.8561941981315613,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, _Diff-UNet, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.8397132739788149,0.8622884154319763,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, _Diff-UNet, nnU-Net_STU-Net, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.8439949569178791,0.8658473491668701,"nnU-Net_STU-Net, nnU-Net_ResEncL, nnU-Net_U-Net, _Diff-UNet"
MONAI_UNETR,0.4457328193366709,0.4744400680065155,
Vision_Language_Swin_UNETR_CLIP,0.8130786220419026,0.8380950689315796,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol"
MONAI_SegVol,0.7870280680580389,0.8114467263221741,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.7347277812030705,0.7551530599594116,
nnU-Net_NexToU,0.81765752049481,0.8435963988304138,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.488000748402965,0.5090136528015137,MONAI_Swin_UNETR
_Diff-UNet,0.8290272459359822,0.8560277223587036,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.6042377599130611,0.6512554287910461,_SAM-Adapter
nnU-Net_U-Net,0.8311183855468739,0.850429117679596,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_STU-Net, _Diff-UNet, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
