Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.6159239411354065,0.0 - 89.5,[],NVIDIA
MONAI_LHU-Net,0.8536984920501709,0.0 - 94.4,"['nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_STU-Net_L', '_Diff-UNet']",UR
Vision_Language_U-Net_CLIP,0.853210985660553,0.0 - 94.4,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L']",CityU
nnU-Net_UniSeg,0.8518925905227661,0.0 - 93.3,"['MONAI_LHU-Net', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_STU-Net_L', '_Diff-UNet']",Collecting Data
nnU-Net_ResEncL,0.8773232102394104,0.0 - 94.6,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",DKFZ
nnU-Net_STU-Net_H,0.867411732673645,0.0 - 94.7,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', '_MedFormer', 'nnU-Net_MedNeXt', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.8470854163169861,0.2 - 93.0,"['MONAI_LHU-Net', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', '_Diff-UNet']",Collecting Data
nnU-Net_MedNeXt,0.8668609261512756,0.0 - 94.6,"['Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",DKFZ
MONAI_UNETR,0.1815652996301651,0.0 - 83.3,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.841110110282898,0.0 - 93.5,"['nnU-Net_STU-Net_H', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L']",CityU
MONAI_SegVol,0.7875810861587524,0.0 - 91.7,['nnU-Net_STU-Net_H'],BAAI
MONAI_UCTransNet,0.7765110731124878,0.0 - 93.5,[],CityU
nnU-Net_NexToU,0.8268776535987854,0.0 - 93.8,"['nnU-Net_STU-Net_H', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_STU-Net_L']",HIT
_SAM-Adapter,0.3236669898033142,0.0 - 67.5,[],Duke
nnU-Net_STU-Net_L,0.8678704500198364,0.0 - 94.6,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', '_MedFormer', 'nnU-Net_MedNeXt', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.8719772696495056,0.0 - 94.4,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",Collecting Data
_Diff-UNet,0.8363962769508362,0.0 - 93.9,"['MONAI_LHU-Net', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_STU-Net_L']",HKUST
MONAI_Swin_UNETR,0.4935167133808136,0.0 - 90.0,[],NVIDIA
nnU-Net_U-Net,0.8677148818969727,0.0 - 94.7,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",N/A
