Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.7384576797485352,0.00 - 0.93,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'MONAI_Swin_UNETR']",NVIDIA
MONAI_LHU-Net,0.8745874762535095,0.00 - 0.96,"['Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', '_Diff-UNet']",UR
Vision_Language_U-Net_CLIP,0.8678126931190491,0.00 - 0.96,"['MONAI_LHU-Net', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', '_Diff-UNet']",CityU
nnU-Net_UniSeg,0.8809423446655273,0.00 - 0.95,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', '_Diff-UNet']",Collecting Data
nnU-Net_ResEncL,0.8992818593978882,0.00 - 0.96,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
nnU-Net_STU-Net_H,0.8874075710773468,0.00 - 0.96,"['MONAI_UNEST', 'MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', '_MedFormer', 'nnU-Net_MedNeXt', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol', 'MONAI_UCTransNet', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'MONAI_Swin_UNETR', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.8608776926994324,0.00 - 0.94,"['Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_UCTransNet', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', '_Diff-UNet']",Collecting Data
nnU-Net_MedNeXt,0.8963691592216492,0.00 - 0.96,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
MONAI_UNETR,0.3823800981044769,0.00 - 0.91,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8468902707099915,0.00 - 0.96,"['MONAI_LHU-Net', 'nnU-Net_STU-Net_H', '_MedFormer', 'MONAI_UCTransNet', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', '_Diff-UNet']",CityU
MONAI_SegVol,0.8154887557029724,0.00 - 0.94,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",BAAI
MONAI_UCTransNet,0.8595790863037109,0.00 - 0.94,"['nnU-Net_STU-Net_H', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_STU-Net_L', '_Diff-UNet']",CityU
nnU-Net_NexToU,0.8659874200820923,0.00 - 0.95,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_STU-Net_L', '_Diff-UNet']",HIT
_SAM-Adapter,0.0155763244256377,0.00 - 0.59,[],Duke
nnU-Net_STU-Net_L,0.8877408504486084,0.00 - 0.96,"['MONAI_UNEST', 'MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_MedNeXt', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol', 'MONAI_UCTransNet', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'MONAI_Swin_UNETR', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.8951801657676697,0.01 - 0.96,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",Collecting Data
_Diff-UNet,0.8661478757858276,0.00 - 0.96,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_UCTransNet', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L']",HKUST
MONAI_Swin_UNETR,0.7064520120620728,0.00 - 0.94,"['MONAI_UNEST', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",NVIDIA
nnU-Net_U-Net,0.9002349972724915,0.00 - 0.96,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",N/A
