Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.9057031273841858,0.0 - 96.5,['MONAI_UCTransNet'],NVIDIA
MONAI_LHU-Net,0.9367961287498474,0.0 - 97.7,"['Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_L', '_Diff-UNet']",UR
Vision_Language_U-Net_CLIP,0.93857342004776,0.0 - 97.9,"['MONAI_LHU-Net', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', '_Diff-UNet']",CityU
nnU-Net_UniSeg,0.9313765168190002,0.0 - 96.6,"['Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU']",Collecting Data
nnU-Net_ResEncL,0.9469267129898072,1.6 - 98.1,['nnU-Net_STU-Net_L'],DKFZ
nnU-Net_STU-Net_H,0.9425684213638306,0.0 - 98.0,"['Vision_Language_U-Net_CLIP', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.9203134179115297,0.4 - 96.0,"['Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol']",Collecting Data
nnU-Net_MedNeXt,0.9435210824012756,0.0 - 98.1,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
MONAI_UNETR,0.37494957447052,0.0 - 95.0,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.9326077699661256,0.0 - 97.8,"['nnU-Net_UniSeg', '_MedFormer', 'nnU-Net_NexToU']",CityU
MONAI_SegVol,0.9223584532737732,0.0 - 96.4,['_MedFormer'],BAAI
MONAI_UCTransNet,0.9045529961586,0.0 - 97.7,['MONAI_UNEST'],CityU
nnU-Net_NexToU,0.9318702816963196,0.0 - 97.7,"['nnU-Net_UniSeg', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_STU-Net_L']",HIT
_SAM-Adapter,0.129302904009819,0.0 - 83.0,[],Duke
nnU-Net_STU-Net_L,0.9431212544441224,0.0 - 97.9,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.9439124464988708,0.0 - 98.0,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",Collecting Data
_Diff-UNet,0.9340613484382628,0.0 - 97.5,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",HKUST
MONAI_Swin_UNETR,0.806106448173523,0.0 - 95.8,[],NVIDIA
nnU-Net_U-Net,0.9424041509628296,0.1 - 98.1,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",N/A
