Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.8246874511241913,0.00 - 0.98,[],NVIDIA
MONAI_LHU-Net,0.9608587026596069,0.00 - 1.00,"['Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L']",UR
Vision_Language_U-Net_CLIP,0.9544280171394348,0.00 - 1.00,"['MONAI_LHU-Net', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",CityU
nnU-Net_UniSeg,0.9622055888175964,0.02 - 1.00,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",Collecting Data
nnU-Net_ResEncL,0.9773918390274048,0.19 - 1.00,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",DKFZ
nnU-Net_STU-Net_H,0.9761210083961488,0.35 - 1.00,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.9390584528446198,0.19 - 0.99,"['MONAI_LHU-Net', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU']",Collecting Data
nnU-Net_MedNeXt,0.9780150949954987,0.03 - 1.00,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",DKFZ
MONAI_UNETR,0.575295478105545,0.00 - 0.96,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.9516800045967102,0.00 - 1.00,"['MONAI_LHU-Net', '_MedFormer', 'nnU-Net_NexToU']",CityU
MONAI_SegVol,0.9256627559661865,0.00 - 0.99,['nnU-Net_NexToU'],BAAI
MONAI_UCTransNet,0.9222579896450043,0.00 - 1.00,[],CityU
nnU-Net_NexToU,0.954945981502533,0.00 - 1.00,"['MONAI_LHU-Net', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol']",HIT
_SAM-Adapter,0.3616369664669037,0.00 - 0.85,[],Duke
nnU-Net_STU-Net_L,0.9796161651611328,0.13 - 1.00,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.978332132101059,0.30 - 1.00,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L']",Collecting Data
_Diff-UNet,0.9722093641757965,0.00 - 1.00,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",HKUST
MONAI_Swin_UNETR,0.6954880654811859,0.00 - 0.98,[],NVIDIA
nnU-Net_U-Net,0.9727634191513062,0.23 - 1.00,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",N/A
